"sample_name","sequencing_batch","CZB_ID"
"RR057e_00037_M22_S349","SEQ003","RR057e_00037"
"RR057e_00039_N16_S254","SEQ003","RR057e_00039"
"RR057e_00049_D18_S276","SEQ003","RR057e_00049"
"RR057e_00058_J18_S282","SEQ003","RR057e_00058"
"RR057e_00073_L18_S284","SEQ003","RR057e_00073"
"RR057e_00074_N18_S286","SEQ003","RR057e_00074"
"RR057e_00076_D20_S308","SEQ003","RR057e_00076"
"RR057e_00079_F20_S310","SEQ003","RR057e_00079"
"RR057e_00080_H20_S312","SEQ003","RR057e_00080"
"RR057e_00086_L20_S316","SEQ003","RR057e_00086"
"RR057e_00088_N20_S318","SEQ003","RR057e_00088"
"RR057e_00093_F22_S342","SEQ003","RR057e_00093"
"RR057e_00102_H22_S344","SEQ003","RR057e_00102"
"RR057e_00105_J22_S346","SEQ003","RR057e_00105"
"RR057e_00107_L22_S348","SEQ003","RR057e_00107"
"RR057e_00116_N22_S350","SEQ003","RR057e_00116"
"RR057e_00130_E16_S245","SEQ003","RR057e_00130"
"RR057e_00131_G16_S247","SEQ003","RR057e_00131"
"RR057e_00137_I16_S249","SEQ003","RR057e_00137"
"RR057e_00140_K16_S251","SEQ003","RR057e_00140"
"RR057e_00142_M16_S253","SEQ003","RR057e_00142"
"RR057e_00143_C18_S275","SEQ003","RR057e_00143"
"RR057e_00154_G18_S279","SEQ003","RR057e_00154"
"RR057e_00168_I18_S281","SEQ003","RR057e_00168"
"RR057e_00171_K18_S283","SEQ003","RR057e_00171"
"RR057e_00173_M18_S285","SEQ003","RR057e_00173"
"RR057e_00184_E20_S309","SEQ003","RR057e_00184"
"RR057e_00198_G20_S311","SEQ003","RR057e_00198"
"RR057e_00200_I20_S313","SEQ003","RR057e_00200"
"RR057e_00203_K20_S315","SEQ003","RR057e_00203"
"RR057e_00206_M20_S317","SEQ003","RR057e_00206"
"RR057e_00216_E22_S341","SEQ003","RR057e_00216"
"RR057e_00222_G22_S343","SEQ003","RR057e_00222"
"RR057e_00223_I22_S345","SEQ003","RR057e_00223"
"RR057e_00231_K12_S187","SEQ003","RR057e_00231"
"RR057e_00253_M12_S189","SEQ003","RR057e_00253"
"RR057e_00259_C14_S211","SEQ003","RR057e_00259"
"RR057e_00260_E14_S213","SEQ003","RR057e_00260"
"RR057e_00261_G14_S215","SEQ003","RR057e_00261"
"RR057e_00268_I14_S217","SEQ003","RR057e_00268"
"RR057e_00272_K14_S219","SEQ003","RR057e_00272"
"RR057e_00273_M14_S221","SEQ003","RR057e_00273"
"RR057e_00302_C16_S243","SEQ003","RR057e_00302"
"RR057e_00399_C04_S51","SEQ003","RR057e_00399"
"RR057e_00401_G04_S55","SEQ003","RR057e_00401"
"RR057e_00403_K04_S59","SEQ003","RR057e_00403"
"RR057e_00412_G06_S87","SEQ003","RR057e_00412"
"RR057e_00414_K06_S91","SEQ003","RR057e_00414"
"RR057e_00416_C08_S115","SEQ003","RR057e_00416"
"RR057e_00423_E08_S117","SEQ003","RR057e_00423"
"RR057e_00427_I08_S121","SEQ003","RR057e_00427"
"RR057e_00436_C10_S147","SEQ003","RR057e_00436"
"RR057e_00437_E10_S149","SEQ003","RR057e_00437"
"RR057e_00442_G10_S151","SEQ003","RR057e_00442"
"RR057e_00451_I10_S153","SEQ003","RR057e_00451"
"RR057e_00454_C12_S179","SEQ003","RR057e_00454"
"RR057e_00456_G12_S183","SEQ003","RR057e_00456"
"RR057e_00719_H04_S56","SEQ003","RR057e_00719"
"RR057e_00721_L04_S60","SEQ003","RR057e_00721"
"RR057e_00723_D06_S84","SEQ003","RR057e_00723"
"RR057e_00724_F06_S86","SEQ003","RR057e_00724"
"RR057e_00726_J06_S90","SEQ003","RR057e_00726"
"RR057e_00727_L06_S92","SEQ003","RR057e_00727"
"RR057e_00728_N06_S94","SEQ003","RR057e_00728"
"RR057e_00729_D08_S116","SEQ003","RR057e_00729"
"RR057e_00731_H08_S120","SEQ003","RR057e_00731"
"RR057e_00733_L08_S124","SEQ003","RR057e_00733"
"RR057e_00735_D10_S148","SEQ003","RR057e_00735"
"RR057e_00736_F10_S150","SEQ003","RR057e_00736"
"RR057e_00737_H10_S152","SEQ003","RR057e_00737"
"RR057e_00741_D12_S180","SEQ003","RR057e_00741"
"RR057e_00742_F12_S182","SEQ003","RR057e_00742"
"RR057e_00743_H12_S184","SEQ003","RR057e_00743"
"RR057e_00744_J12_S186","SEQ003","RR057e_00744"
"RR057e_00746_N12_S190","SEQ003","RR057e_00746"
"RR057e_00747_D14_S212","SEQ003","RR057e_00747"
"RR057e_00748_F14_S214","SEQ003","RR057e_00748"
"RR057e_00749_H14_S216","SEQ003","RR057e_00749"
"RR057e_00750_J14_S218","SEQ003","RR057e_00750"
"RR057e_00761_L14_S220","SEQ003","RR057e_00761"
"RR057e_00762_N14_S222","SEQ003","RR057e_00762"
"RR057e_00763_D16_S244","SEQ003","RR057e_00763"
"RR057e_00764_F16_S246","SEQ003","RR057e_00764"
"RR057e_00765_H16_S248","SEQ003","RR057e_00765"
"RR057i_00062_E03_S37","SEQ003","RR057i_00062"
"RR057i_00064_I03_S41","SEQ003","RR057i_00064"
"RR057i_00067_C05_S67","SEQ003","RR057i_00067"
"RR057i_00068_E05_S69","SEQ003","RR057i_00068"
"RR057i_00069_G05_S71","SEQ003","RR057i_00069"
"RR057i_00070_I05_S73","SEQ003","RR057i_00070"
"RR057i_00071_K05_S75","SEQ003","RR057i_00071"
"RR057i_00072_M05_S77","SEQ003","RR057i_00072"
"RR057i_00074_E07_S101","SEQ003","RR057i_00074"
"RR057i_00075_G07_S103","SEQ003","RR057i_00075"
"RR057i_00076_I07_S105","SEQ003","RR057i_00076"
"RR057i_00077_K07_S107","SEQ003","RR057i_00077"
"RR057i_00078_M07_S109","SEQ003","RR057i_00078"
"RR057i_00080_E09_S133","SEQ003","RR057i_00080"
"RR057i_00081_G09_S135","SEQ003","RR057i_00081"
"RR057i_00082_I09_S137","SEQ003","RR057i_00082"
"RR057i_00083_K09_S139","SEQ003","RR057i_00083"
"RR057i_00084_M09_S141","SEQ003","RR057i_00084"
"RR057i_00086_E11_S165","SEQ003","RR057i_00086"
"RR057i_00088_I11_S169","SEQ003","RR057i_00088"
"RR057i_00089_K11_S171","SEQ003","RR057i_00089"
"RR057i_00090_M11_S173","SEQ003","RR057i_00090"
"RR057i_00094_I13_S201","SEQ003","RR057i_00094"
"RR057i_00095_K13_S203","SEQ003","RR057i_00095"
"RR057i_00096_M13_S205","SEQ003","RR057i_00096"
"RR057i_00098_E15_S229","SEQ003","RR057i_00098"
"RR057i_00099_G15_S231","SEQ003","RR057i_00099"
"RR057i_00100_I15_S233","SEQ003","RR057i_00100"
"RR057i_00101_K15_S235","SEQ003","RR057i_00101"
"RR057i_00103_C17_S259","SEQ003","RR057i_00103"
"RR057i_00104_E17_S261","SEQ003","RR057i_00104"
"RR057i_00106_I17_S265","SEQ003","RR057i_00106"
"RR057i_00108_M17_S269","SEQ003","RR057i_00108"
"RR057i_00109_C19_S291","SEQ003","RR057i_00109"
"RR057i_00110_E19_S293","SEQ003","RR057i_00110"
"RR057i_00112_I19_S297","SEQ003","RR057i_00112"
"RR057i_00114_M19_S301","SEQ003","RR057i_00114"
"RR057i_00115_C21_S323","SEQ003","RR057i_00115"
"RR057i_00116_E21_S325","SEQ003","RR057i_00116"
"RR057i_00117_G21_S327","SEQ003","RR057i_00117"
"RR057i_00118_I21_S329","SEQ003","RR057i_00118"
"RR057i_00119_K21_S331","SEQ003","RR057i_00119"
"RR057i_00120_M21_S333","SEQ003","RR057i_00120"
"RR057i_00121_D03_S36","SEQ003","RR057i_00121"
"RR057i_00122_F03_S38","SEQ003","RR057i_00122"
"RR057i_00123_H03_S40","SEQ003","RR057i_00123"
"RR057i_00131_L05_S76","SEQ003","RR057i_00131"
"RR057i_00132_N05_S78","SEQ003","RR057i_00132"
"RR057i_00133_D07_S100","SEQ003","RR057i_00133"
"RR057i_00134_F07_S102","SEQ003","RR057i_00134"
"RR057i_00135_H07_S104","SEQ003","RR057i_00135"
"RR057i_00136_J07_S106","SEQ003","RR057i_00136"
"RR057i_00137_L07_S108","SEQ003","RR057i_00137"
"RR057i_00138_N07_S110","SEQ003","RR057i_00138"
"RR057i_00139_D09_S132","SEQ003","RR057i_00139"
"RR057i_00141_H09_S136","SEQ003","RR057i_00141"
"RR057i_00145_D11_S164","SEQ003","RR057i_00145"
"RR057i_00146_F11_S166","SEQ003","RR057i_00146"
"RR057i_00147_H11_S168","SEQ003","RR057i_00147"
"RR057i_00149_L11_S172","SEQ003","RR057i_00149"
"RR057i_00151_D13_S196","SEQ003","RR057i_00151"
"RR057i_00154_J13_S202","SEQ003","RR057i_00154"
"RR057i_00156_N13_S206","SEQ003","RR057i_00156"
"RR057i_00157_D15_S228","SEQ003","RR057i_00157"
"RR057i_00158_F15_S230","SEQ003","RR057i_00158"
"RR057i_00160_J15_S234","SEQ003","RR057i_00160"
"RR057i_00163_D17_S260","SEQ003","RR057i_00163"
"RR057i_00165_H17_S264","SEQ003","RR057i_00165"
"RR057i_00166_J17_S266","SEQ003","RR057i_00166"
"RR057i_00167_L17_S268","SEQ003","RR057i_00167"
"RR057i_00168_N17_S270","SEQ003","RR057i_00168"
"RR057i_00169_D19_S292","SEQ003","RR057i_00169"
"RR057i_00170_F19_S294","SEQ003","RR057i_00170"
"RR057i_00171_H19_S296","SEQ003","RR057i_00171"
"RR057i_00172_J19_S298","SEQ003","RR057i_00172"
"RR057i_00173_L19_S300","SEQ003","RR057i_00173"
"RR057i_00175_D21_S324","SEQ003","RR057i_00175"
"RR057i_00176_F21_S326","SEQ003","RR057i_00176"
"RR057i_00177_H21_S328","SEQ003","RR057i_00177"
"RR057i_00179_L21_S332","SEQ003","RR057i_00179"
"RR057i_00180_N21_S334","SEQ003","RR057i_00180"
"RR_hela1_25ng_SEQ003_B03_S34","SEQ003",""
"RR_hela2_2-5ng_SEQ003_B05_S66","SEQ003",""
"RR_hela3_250pg_SEQ003_B07_S98","SEQ003",""
"RR_hela4_25pg_SEQ003_B09_S130","SEQ003",""
"RR_hela5_2-5pg_SEQ003_B11_S162","SEQ003",""
"RR_hela6_0-25pg_SEQ003_B13_S194","SEQ003",""
"RR_hela7_0-025pg_SEQ003_B15_S226","SEQ003",""
"RR_water_ntc_SEQ003_B17_S258","SEQ003",""
"RR_water_ntc_SEQ003_O08_S127","SEQ003",""
"RR_water_ntc_SEQ003_O10_S159","SEQ003",""
"RR_water_ntc_SEQ003_O12_S191","SEQ003",""
"RR_water_ntc_SEQ003_O14_S223","SEQ003",""
"RR_water_ntc_SEQ003_O16_S255","SEQ003",""
"RR_water_ntc_SEQ003_O18_S287","SEQ003",""
"RR_water_ntc_SEQ003_O20_S319","SEQ003",""
"RR_water_ntc_SEQ003_O22_S351","SEQ003",""
"RR057e_00042_D03_S36","SEQ005","RR057e_00042"
"RR057e_00047_H03_S40","SEQ005","RR057e_00047"
"RR057e_00051_J03_S42","SEQ005","RR057e_00051"
"RR057e_00052_F05_S70","SEQ005","RR057e_00052"
"RR057e_00060_F03_S38","SEQ005","RR057e_00060"
"RR057e_00066_D05_S68","SEQ005","RR057e_00066"
"RR057e_00084_H05_S72","SEQ005","RR057e_00084"
"RR057e_00117_N03_S46","SEQ005","RR057e_00117"
"RR057e_00119_L03_S44","SEQ005","RR057e_00119"
"RR057e_00133_J05_S74","SEQ005","RR057e_00133"
"RR057e_00134_L05_S76","SEQ005","RR057e_00134"
"RR057e_00138_F07_S102","SEQ005","RR057e_00138"
"RR057e_00145_H07_S104","SEQ005","RR057e_00145"
"RR057e_00148_F09_S134","SEQ005","RR057e_00148"
"RR057e_00161_N07_S110","SEQ005","RR057e_00161"
"RR057e_00165_L07_S108","SEQ005","RR057e_00165"
"RR057e_00169_J07_S106","SEQ005","RR057e_00169"
"RR057e_00187_D09_S132","SEQ005","RR057e_00187"
"RR057e_00202_N05_S78","SEQ005","RR057e_00202"
"RR057e_00224_J09_S138","SEQ005","RR057e_00224"
"RR057e_00232_J13_S202","SEQ005","RR057e_00232"
"RR057e_00237_D11_S164","SEQ005","RR057e_00237"
"RR057e_00239_H11_S168","SEQ005","RR057e_00239"
"RR057e_00246_H13_S200","SEQ005","RR057e_00246"
"RR057e_00250_L11_S172","SEQ005","RR057e_00250"
"RR057e_00254_J11_S170","SEQ005","RR057e_00254"
"RR057e_00280_N09_S142","SEQ005","RR057e_00280"
"RR057e_00285_F11_S166","SEQ005","RR057e_00285"
"RR057e_00287_L09_S140","SEQ005","RR057e_00287"
"RR057e_00290_L13_S204","SEQ005","RR057e_00290"
"RR057e_00291_N11_S174","SEQ005","RR057e_00291"
"RR057e_00294_F13_S198","SEQ005","RR057e_00294"
"RR057e_00295_N13_S206","SEQ005","RR057e_00295"
"RR057e_00296_D13_S196","SEQ005","RR057e_00296"
"RR057e_00309_D15_S228","SEQ005","RR057e_00309"
"RR057e_00318_F15_S230","SEQ005","RR057e_00318"
"RR057e_00324_H15_S232","SEQ005","RR057e_00324"
"RR057e_00340_J15_S234","SEQ005","RR057e_00340"
"RR057e_00410_J17_S266","SEQ005","RR057e_00410"
"RR057e_00418_J21_S330","SEQ005","RR057e_00418"
"RR057e_00431_L21_S332","SEQ005","RR057e_00431"
"RR057e_00440_N15_S238","SEQ005","RR057e_00440"
"RR057e_00449_F21_S326","SEQ005","RR057e_00449"
"RR057e_00460_L17_S268","SEQ005","RR057e_00460"
"RR057e_00464_F17_S262","SEQ005","RR057e_00464"
"RR057e_00475_D17_S260","SEQ005","RR057e_00475"
"RR057e_00485_N17_S270","SEQ005","RR057e_00485"
"RR057e_00488_J19_S298","SEQ005","RR057e_00488"
"RR057e_00489_L19_S300","SEQ005","RR057e_00489"
"RR057e_00491_L15_S236","SEQ005","RR057e_00491"
"RR057e_00494_H17_S264","SEQ005","RR057e_00494"
"RR057e_00504_K06_S91","SEQ005","RR057e_00504"
"RR057e_00505_K04_S59","SEQ005","RR057e_00505"
"RR057e_00508_C04_S51","SEQ005","RR057e_00508"
"RR057e_00512_G06_S87","SEQ005","RR057e_00512"
"RR057e_00515_M04_S61","SEQ005","RR057e_00515"
"RR057e_00516_E06_S85","SEQ005","RR057e_00516"
"RR057e_00520_I04_S57","SEQ005","RR057e_00520"
"RR057e_00528_K08_S123","SEQ005","RR057e_00528"
"RR057e_00534_G08_S119","SEQ005","RR057e_00534"
"RR057e_00540_M08_S125","SEQ005","RR057e_00540"
"RR057e_00549_E04_S53","SEQ005","RR057e_00549"
"RR057e_00560_C06_S83","SEQ005","RR057e_00560"
"RR057e_00567_I06_S89","SEQ005","RR057e_00567"
"RR057e_00577_N21_S334","SEQ005","RR057e_00577"
"RR057e_00581_C08_S115","SEQ005","RR057e_00581"
"RR057e_00586_G04_S55","SEQ005","RR057e_00586"
"RR057e_00590_M06_S93","SEQ005","RR057e_00590"
"RR057e_00751_C10_S147","SEQ005","RR057e_00751"
"RR057e_00752_E10_S149","SEQ005","RR057e_00752"
"RR057e_00753_G10_S151","SEQ005","RR057e_00753"
"RR057e_00754_E12_S181","SEQ005","RR057e_00754"
"RR057e_00755_I10_S153","SEQ005","RR057e_00755"
"RR057e_00756_K10_S155","SEQ005","RR057e_00756"
"RR057e_00757_M10_S157","SEQ005","RR057e_00757"
"RR057e_00759_C12_S179","SEQ005","RR057e_00759"
"RR_hela1_25ng_SEQ000AOP_B03_S34","SEQ005",""
"RR_hela1_25ng_SEQ000AOP_O08_S127","SEQ005",""
"RR_hela2_2-5ng_SEQ000AOP_B05_S66","SEQ005",""
"RR_hela2_2-5ng_SEQ000AOP_O10_S159","SEQ005",""
"RR_hela3_250pg_SEQ000AOP_B07_S98","SEQ005",""
"RR_hela3_250pg_SEQ000AOP_O12_S191","SEQ005",""
"RR_hela4_25pg_SEQ000AOP_B09_S130","SEQ005",""
"RR_hela4_25pg_SEQ000AOP_O14_S223","SEQ005",""
"RR_hela5_2-5pg_SEQ000AOP_B11_S162","SEQ005",""
"RR_hela5_2-5pg_SEQ000AOP_O16_S255","SEQ005",""
"RR_hela6_0-25pg_SEQ000AOP_B13_S194","SEQ005",""
"RR_hela6_0-25pg_SEQ000AOP_O18_S287","SEQ005",""
"RR_hela7_0-025pg_SEQ000AOP_B15_S226","SEQ005",""
"RR_hela7_0-025pg_SEQ000AOP_O20_S319","SEQ005",""
"RR_water_ntc_SEQ000AOP_B17_S258","SEQ005",""
"RR_water_ntc_SEQ000AOP_O22_S351","SEQ005",""
